회원번호,region_tier,treatment_h4,p_control_logit,p_treated_logit,uplift_logit,p_control_rf,p_treated_rf,uplift_rf
380658176,Tier3_배송취약권(가정),1.0,0.5123562777796177,0.5140185652086076,0.0016622874289898837,0.5356424078944475,0.5821653971775165,0.04652298928306897
380682304,Tier1_새벽배송가능권(가정),0.0,0.4750541492300941,0.4967617460584899,0.021707596828395792,0.4776291715516752,0.4471849917224832,-0.03044417982919201
380775104,Tier1_새벽배송가능권(가정),0.0,0.15369653168631248,0.15246622765481338,-0.0012303040314990965,0.1497783175231182,0.2257400307351941,0.0759617132120759
380782528,Tier1_새벽배송가능권(가정),,0.04404005450067124,0.030460727464324752,-0.01357932703634649,0.057729876269976346,0.06625141877185171,0.008521542501875368
380806656,Tier1_새벽배송가능권(가정),0.0,0.06346910376443377,0.04450511573540931,-0.018963988029024458,0.09421300387230291,0.1005513447934686,0.006338340921165683
380834496,Tier3_배송취약권(가정),0.0,0.9140120618054864,0.9341725105997096,0.020160448794223185,0.8722676076599071,0.9224266427627171,0.05015903510281006
380929152,Tier3_배송취약권(가정),0.0,0.07131141917368071,0.05104728120741519,-0.02026413796626552,0.09723684679813953,0.0895989854228274,-0.007637861375312124
380960704,Tier3_배송취약권(가정),1.0,0.04960863502584965,0.046226802072623585,-0.003381832953226062,0.10006702115000334,0.13379372846237503,0.03372670731237169
381042368,Tier3_배송취약권(가정),0.0,0.044205739346967116,0.033890807261951435,-0.010314932085015681,0.06496046384335141,0.0760228608039473,0.011062396960595883
381044224,Tier3_배송취약권(가정),0.0,0.8621233335239689,0.8801936192597376,0.018070285735768743,0.8718695169339051,0.7984352510603792,-0.07343426587352597
381129600,Tier2_익일배송표준권(가정),1.0,0.4396884991346165,0.5013682332453171,0.0616797341107006,0.5367318553577664,0.4463666784354981,-0.09036517692226825
381240960,Tier2_익일배송표준권(가정),0.0,0.19968747158702768,0.19152362584079133,-0.008163845746236353,0.20165679627851987,0.1943921704701416,-0.007264625808378278
381472960,Tier2_익일배송표준권(가정),0.0,0.042713705109375846,0.035775409607438406,-0.00693829550193744,0.0822135877533934,0.07076607618748128,-0.011447511565912116
381593600,Tier3_배송취약권(가정),,0.8692208476188156,0.8968814550099997,0.027660607391184144,0.8456875374676048,0.8914176384556441,0.04573010098803931
