회원번호,가격구간,treatment_h4,uplift_revenue_enet,uplift_revenue_rf
1282141504,Q4_고가,1.0,-1058.4908396860992,-97.5307668118985
1282308544,Q1_저가,0.0,6933.520674361876,3256.5028736957415
1282477440,Q3,0.0,2841.840025061254,-224.44589020501917
1282494144,Q1_저가,,-4188.70144527969,-115.53824886397615
1282575808,Q1_저가,0.0,-7725.247329919544,-870.0424718057761
1282748416,Q1_저가,,-2911.607174404904,3484.7279462616516
1282880192,Q4_고가,0.0,-3686.4175786011365,-2690.1717985087016
1283039808,Q3,0.0,6502.323856468487,15012.782163393807
1283084352,Q3,,7382.3947861938905,-849.5303402873724
1283121472,Q4_고가,0.0,-6286.264832789428,-333016.1282787213
1283151168,Q3,0.0,1551.8833458509907,-8186.34066895576
1283208704,Q2,1.0,-5172.197570826625,-1714.0381613213194
1283214272,Q2,1.0,4653.238881652553,-574.3811422516023
1283336768,Q4_고가,,284.1116152979157,-8119.910782559047
1283416576,Q1_저가,,-9369.482060501286,-2190.38281851574
1283591040,Q3,,3878.4662315811293,-10975.939219294734
1283592896,Q3,0.0,4885.2610377114,2542.474292106862
1283733952,Q3,0.0,-698.9041696533277,-1006.0180478924551
1283945536,Q4_고가,0.0,-3479.5294068322837,-13038.548205713007
1283954816,Q2,0.0,7721.958141363728,16194.772638342594
1283980800,Q1_저가,0.0,4832.970591212885,-5471.553436283659
1283997504,Q3,0.0,5257.4961936341715,-11179.170251040778
1284016064,Q3,0.0,-3158.6932950063565,4090.2366201826844
1284160832,Q3,0.0,8203.16391765852,1457.7454028945176
1284298176,Q2,1.0,-2204.7116033602106,221.05505298432217
1284314880,Q3,0.0,-1014.415818613179,-768.4520536684211
1284376128,Q3,1.0,2651.0783554904338,12917.210575979494
1284457792,Q3,1.0,8166.882965162578,5753.388622468861
1284571008,Q1_저가,0.0,-5198.662162407414,-165.70162759032291
1284589568,Q4_고가,0.0,-3674.8551887397953,-4453.782229085574
1284591424,Q3,0.0,-895.0862348536612,-3343.2734592034103
1284619264,Q3,1.0,9320.884693336018,2627.041618564146
1284699072,Q1_저가,0.0,-2302.94365299755,-15281.566386554034
1284743616,Q2,0.0,2290.7295786560717,-449.25755298069726
1284793728,Q3,1.0,3509.5980840966004,-1073.6829302829647
1284847552,Q2,0.0,14654.623102249963,-4562.158596970174
1285183488,Q4_고가,0.0,-1657.0515162965748,-734.1929821223493
1285215040,Q4_고가,0.0,-6001.375345603228,984.5617172978818
1285281856,Q3,1.0,3554.144053197597,-13724.717195376099
1285545408,Q4_고가,0.0,-9048.186620829554,45272.707928432996
1285708736,Q2,,1724.439407154583,-39135.90970980951
1286276672,Q4_고가,0.0,-7829.164876273368,766.3144443765923
1286324928,Q3,0.0,11702.048484821993,-667.8239711956248
1286373184,Q3,1.0,2566.772970617023,4342.480409340535
1286484544,Q2,0.0,735.329707044908,75.62460857160113
1286488256,Q1_저가,0.0,2347.140432625176,-577.810972498874
1286530944,Q3,1.0,1126.8571977574138,1527.3722225650836
1286779648,Q2,0.0,1983.1925775327582,147.72308775456804
1286798208,Q2,0.0,-6546.572993816299,-3192.696791129594
1286954112,Q4_고가,0.0,-8394.770449397874,-991.686701508035
1286957824,Q4_고가,,-8882.372870280218,-1056.587510989734
1287113728,Q2,1.0,2115.218492095264,569.1000621105877
1287258496,Q1_저가,0.0,7162.427878582366,2936.824327964159
1287280768,Q2,0.0,-1454.7338346257202,-4094.205105307443
1287462656,Q4_고가,0.0,-4313.804259242708,86965.88850593267
1287668672,Q1_저가,0.0,153.69826663444474,-577.810972498874
1287826432,Q1_저가,1.0,3961.701211833257,3209.6321075324304
1287861696,Q3,1.0,1701.8268735707315,-6150.159783654821
1288251456,Q1_저가,1.0,4070.677991944249,4460.065161107561
1288255168,Q2,0.0,-3046.8517237656197,-1039.1471486133596
1288303424,Q3,0.0,1520.1589073665164,1574.4362377555644
1288327552,Q1_저가,0.0,-3471.973666284259,-544.6894161278747
1288398080,Q2,0.0,7377.633806135891,-490.6437077288356
1289387328,Q4_고가,0.0,-1515.4097655806545,9106.845926490401
1289430016,Q1_저가,,-69.81384421253824,-408.97927315940956
1289439296,Q3,0.0,7706.426466555364,35847.25180104372
1289650880,Q2,0.0,8679.235806551975,4311.285769037868
1290118592,Q2,1.0,-430.5412694797742,-163.4454835615511
1290267072,Q3,0.0,-2361.2807662588493,-772.7068369528638
1290415552,Q1_저가,0.0,2230.6228200623045,2423.9747372477395
1290508352,Q3,0.0,6293.055730357293,3663.8544399969032
1290675392,Q3,,-3244.6690870939346,87135.7848674471
1290712512,Q1_저가,0.0,6240.334459935657,996.8862942587366
1290857280,Q3,0.0,1666.2298648241012,-365.6160971236893
1290942656,Q1_저가,0.0,-2936.541625254584,2861.1401901883437
1291139392,Q1_저가,1.0,8809.970763149686,-1208.841660031987
1291183936,Q1_저가,0.0,5346.799825514234,-430.4359566827434
1291226624,Q1_저가,0.0,-3893.0531864073673,1029.320948951463
1291466048,Q4_고가,1.0,-291.11959214571834,346.32058399998186
1291764864,Q4_고가,0.0,-4429.091694476323,-8395.674517239735
1291959744,Q1_저가,0.0,-1507.5890719013223,-510.6069947863
1292145344,Q2,0.0,1251.3560193214362,-8123.747393598835
1292843200,Q2,0.0,-3780.7312354380047,240.65434989834284
1292921152,Q4_고가,0.0,376.08672815173486,2253.368207518455
1292952704,Q1_저가,1.0,924.6047138668146,-5850.299623693274
1293407424,Q4_고가,0.0,-34.580706334716524,-24825.554556574127
1293418560,Q2,0.0,-5760.308186613416,1808.95836249493
1293695104,Q4_고가,1.0,-15014.434885068666,1882.6513643430808
1293774912,Q2,0.0,-1002.3404626859992,6266.04731554287
1293787904,Q2,0.0,2739.462748300408,-443.86504644006163
1293891840,Q3,0.0,2756.4025217334747,-620.7247580474152
1294396672,Q3,0.0,3968.9864190191984,-218.16650649850044
1294444928,Q3,0.0,-18445.762500101657,-10864.215403876166
1294572992,Q3,,1127.2139322941875,7.124856218168134
1294712192,Q2,,-141.1026407622703,3291.054384371353
1294797568,Q3,0.0,532.540992156868,-839.5781026425434
1294849536,Q3,,4933.130921990276,30112.376052214677
1294981312,Q2,,2551.6955668092814,-363.2845980799066
1295074112,Q2,0.0,2832.0793572841467,1709.969177831047
1295274560,Q3,,-160.39213790591384,-510.38049608408437
1295584512,Q1_저가,0.0,-4469.976558302198,-743.9182057258911
1295643904,Q3,0.0,7104.17083763353,-193.95511456053646
1295738560,Q3,0.0,-65939.76829169423,27245.163063224987
1296106048,Q2,0.0,-2891.2710735742185,-6181.95668495125
1296115328,Q3,1.0,-6680.386274137112,3664.794183516482
1296284224,Q2,1.0,119.39660670861122,4048.2963235744814
1296286080,Q3,,-1013.2671050561185,-17061.120857304784
1296545920,Q2,,2755.7108232891405,-1873.0503747117727
1296570048,Q2,0.0,-3703.09828818214,-433.73459833261813
1296768640,Q1_저가,1.0,128.91857072614948,4522.329047923118
1296789056,Q1_저가,0.0,-3415.065764343348,-510.6069947863
1296876288,Q3,0.0,6182.82576475327,-1083.0642686720457
1296887424,Q1_저가,1.0,-2186.651203390171,-517.5542712237384
1296956096,Q3,0.0,4990.663606955091,-6777.890085244497
1297034048,Q3,0.0,4372.453597975233,-6118.666617639822
