회원번호,frequency,monetary,가격구간,region_tier,age_gender_segment,treatment_h4,future_is_vip,vip_conversion_score_logit,vip_conversion_score_rf
1577106304,17,651187,Q3,Tier3_배송취약권(가정),40s_F,,1,0.8102893351607495,0.8299879518832227
744031424,12,623999,Q4_고가,Tier3_배송취약권(가정),30s_F,1.0,0,0.6321309504822601,0.8290621082190104
1437343936,12,683736,Q4_고가,Tier1_새벽배송가능권(가정),40s_F,0.0,0,0.8896028749621459,0.8287647971988658
1532356288,12,679435,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,0,0.7848550864770995,0.8282779831208548
351145920,9,593950,Q4_고가,Tier3_배송취약권(가정),40s_F,,0,0.7642744185231128,0.8269764844183792
391289344,10,527228,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,0.0,0,0.899659470190643,0.8265914207997799
748914560,13,669472,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.7757360737860783,0.82635991591275
1384381120,9,566188,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,1,0.7288556776687393,0.824961903205507
1359512576,19,624291,Q3,Tier3_배송취약권(가정),60+_F,,0,0.876331875400771,0.8248987442314006
842187840,11,633923,Q4_고가,Tier3_배송취약권(가정),<30_M,0.0,1,0.6504624634414509,0.824710297728271
269994176,22,692285,Q3,Tier1_새벽배송가능권(가정),30s_F,,0,0.7597744799978198,0.8241665483254349
1310454784,11,583896,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,0.0,1,0.769910399361419,0.8240826145006822
838960256,20,739537,Q3,Tier1_새벽배송가능권(가정),40s_F,0.0,1,0.6950724226579521,0.8239674987724538
946303872,10,507128,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.7061813479856659,0.8234523145839845
160471616,15,501961,Q3,Tier3_배송취약권(가정),50s_F,1.0,1,0.7055666141936522,0.8232681445161041
480950848,11,665935,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,0,0.7151865411469295,0.8229542333094048
1530559680,13,662578,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.6972576804254896,0.8227463012984475
301935936,15,508276,Q3,Tier3_배송취약권(가정),40s_F,,0,0.9203669835169422,0.822745917646679
624514304,10,632560,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.6871792902752795,0.8220153380466839
469170816,9,555107,Q4_고가,Tier3_배송취약권(가정),30s_F,,0,0.8857312137797088,0.8218183638152021
1151627584,12,607537,Q4_고가,Tier2_익일배송표준권(가정),30s_F,0.0,0,0.7242042505342892,0.8216551153019038
