회원번호,age_gender_segment,treatment_h4,p_control,p_treated,uplift
61203456,60+_F,0.0,0.3952853600142903,0.3424317632647419,-0.052853596749548426
61216448,50s_F,0.0,0.20134803308222485,0.1759228575032347,-0.025425175578990156
61220160,60+_F,0.0,0.070701604467621,0.1014108026752653,0.030709198207644298
61223872,40s_F,1.0,0.7149048064978217,0.7151468282820161,0.00024202178419441278
61424320,60+_F,0.0,0.7682971328557204,0.7350251900200453,-0.03327194283567514
61426176,60+_F,0.0,0.6681925953486253,0.6865875958542201,0.01839500050559484
61441024,50s_F,,0.07192019430005837,0.10627729479741088,0.03435710049735251
61442880,60+_F,1.0,0.3985125891008965,0.4192244944435803,0.0207119053426838
61452160,60+_F,,0.19931841190189345,0.20609720515585916,0.006778793253965715
61541248,50s_F,0.0,0.4056779915860689,0.3951823915473149,-0.010495600038753994
61546816,60+_F,1.0,0.1932908087922747,0.21406329541412233,0.020772486621847636
61548672,60+_F,,0.9023435124833651,0.9135191950045212,0.011175682521156083
61652608,60+_F,,0.5300249391492091,0.5853193987071402,0.05529445955793111
61713856,60+_F,0.0,0.08983314959739884,0.12723843464040624,0.0374052850430074
61750976,60+_F,0.0,0.942645576003184,0.8939808076943114,-0.048664768308872564
61763968,60+_F,1.0,0.8340580144901041,0.7970393991360984,-0.037018615354005635
61867904,50s_F,0.0,0.7607360445233798,0.7331295783245,-0.027606466198879853
62012672,50s_F,0.0,0.4145045927169982,0.5710710251781752,0.15656643246117702
62261376,60+_F,0.0,0.8991609631938233,0.9079360870569877,0.008775123863164369
62326336,50s_F,,0.369146364633576,0.3909059812336161,0.02175961660004011
62341184,60+_F,0.0,0.905679462044559,0.9204674645629675,0.014788002518408505
62343040,50s_F,0.0,0.8607048456145729,0.9099274030185015,0.04922255740392856
62361600,50s_F,0.0,0.22665043625862405,0.3424585127862971,0.11580807652767303
62426560,50s_F,0.0,0.09643633411963766,0.15252492556806188,0.05608859144842422
62615872,50s_F,0.0,0.3629555681519732,0.3725610960735432,0.00960552792156999
62686400,50s_F,0.0,0.31615787324856903,0.2983848111275409,-0.017773062121028138
62688256,50s_F,0.0,0.09510327822996231,0.1357948462151987,0.040691567985236377
62704960,60+_F,0.0,0.5719072871926779,0.5085942028245237,-0.0633130843681542
62716096,50s_F,,0.7621682226239405,0.7990583873064776,0.03689016468253714
62743936,60+_F,0.0,0.8689576423617292,0.8969565789609765,0.027998936599247237
63308160,60+_F,1.0,0.8827267105572192,0.8980418333769481,0.01531512281972891
63553152,60+_F,0.0,0.7436819237678312,0.7849157704351823,0.04123384666735119
63655232,60+_F,0.0,0.4737834614328289,0.471356989956705,-0.0024264714761239037
63722048,50s_F,,0.8727179653069848,0.8771947574322985,0.004476792125313711
63723904,50s_F,0.0,0.07158695220394654,0.10471932492031083,0.033132372716364294
63796288,60+_F,1.0,0.10184428979151519,0.13568123410812322,0.033836944316608025
