antecedents,consequents,support,confidence,lift
잎/줄기채소,양념채소,0.04157549234135667,0.19372446702598783,1.3281824612299997
양념채소,잎/줄기채소,0.04157549234135667,0.285043188361873,1.3281824612299995
빵,유제품,0.019561037066507525,0.16896837013937505,1.3280391401150753
유제품,빵,0.019561037066507525,0.1537437025884533,1.3280391401150753
열매채소,과일,0.019052671131445747,0.13065885206143896,1.323447412794556
과일,열매채소,0.019052671131445747,0.19298507462686565,1.3234474127945557
밑반찬,음료,0.015103625606907882,0.18413724961825204,1.3229985047607713
음료,밑반찬,0.015103625606907882,0.10851728336244772,1.3229985047607713
밑반찬,과자,0.015759343986915104,0.19213150094314202,1.3219352406099114
과자,밑반찬,0.015759343986915104,0.10843007046180363,1.3219352406099114
쌈채소류,양념채소,0.0127459864877808,0.1921368280764105,1.3172975470012185
양념채소,쌈채소류,0.0127459864877808,0.08738697782492297,1.3172975470012183
가루,밀가공,0.010498861702362796,0.15914675005584097,1.31640131868665
밀가공,가루,0.010498861702362796,0.08684258638552014,1.31640131868665
두부/유부,콩나물,0.03723596283771338,0.1421819614021268,1.3035811563867379
콩나물,두부/유부,0.03723596283771338,0.3413942177789786,1.3035811563867379
열매채소,양념채소,0.027031806025241474,0.18537793047696038,1.27095828285636
양념채소,열매채소,0.027031806025241474,0.18533111077435974,1.2709582828563597
음료,육가공,0.01864745190784578,0.13397914350749032,1.2654735677890157
육가공,음료,0.01864745190784578,0.17613082811412664,1.2654735677890157
육가공,떡,0.01147138783900272,0.10835073068893529,1.2638652737778016
떡,육가공,0.01147138783900272,0.1338088690271571,1.2638652737778013
빵,육가공,0.015405698119046041,0.13307452427925923,1.2569291653374792
육가공,빵,0.015405698119046041,0.1455114822546973,1.256929165337479
밀가공,빵,0.01757177905974405,0.14534706563471267,1.2555089334648963
빵,밀가공,0.01757177905974405,0.1517851460574047,1.2555089334648963
밀가공,과자,0.022051293386085507,0.18239990249253457,1.254978271678878
과자,밀가공,0.022051293386085507,0.15172099153444515,1.2549782716788778
과일,버섯,0.010675684636297329,0.10813432835820896,1.2442323036394833
버섯,과일,0.010675684636297329,0.1228382502543235,1.2442323036394831
빵,음료,0.019980991534602036,0.172595939667791,1.2400759247879733
음료,빵,0.019980991534602036,0.1435604255994918,1.2400759247879733
과일채소,양념채소,0.01437423100442794,0.1800812257707218,1.234643869911315
양념채소,과일채소,0.01437423100442794,0.09855028539677728,1.2346438699113147
돼지,양념채소,0.01133877063855182,0.1799789498304292,1.2339426620970007
양념채소,돼지,0.01133877063855182,0.07773905137141991,1.2339426620970007
콩나물,버섯,0.011677681261926339,0.10706565793028912,1.2319357990183293
버섯,콩나물,0.011677681261926339,0.13436758223126483,1.231935799018329
밑반찬,밀가공,0.01220078244148266,0.14874696847210994,1.2303782853160468
밀가공,밑반찬,0.01220078244148266,0.10092022670485709,1.2303782853160468
밀가공,떡,0.012731251243286255,0.10530806264854653,1.2283738428347002
떡,밀가공,0.012731251243286255,0.14850464077002407,1.2283738428347002
떡,과일,0.010380979746406442,0.12108972155379856,1.2265214042369794
과일,떡,0.010380979746406442,0.10514925373134329,1.2265214042369794
콩나물,뿌리채소,0.013946908914086157,0.12787084571737367,1.207862900575782
뿌리채소,콩나물,0.013946908914086157,0.13174194446377618,1.207862900575782
과자,유제품,0.02222074869777277,0.15288690627059362,1.2016438068910418
유제품,과자,0.02222074869777277,0.17464821356187388,1.2016438068910418
과일채소,뿌리채소,0.010152583456741006,0.12719217278936681,1.2014521832088503
뿌리채소,과일채소,0.010152583456741006,0.09590089776602408,1.20145218320885
소,양념채소,0.010101010101010102,0.17478327383987763,1.1983209059459894
양념채소,소,0.010101010101010102,0.06925291710865283,1.1983209059459894
잎/줄기채소,과일,0.02533725290836888,0.11806103882728552,1.1958437864916893
과일,잎/줄기채소,0.02533725290836888,0.25664179104477614,1.1958437864916893
뿌리채소,열매채소,0.01844115848492216,0.1741944463776185,1.1945855907633276
열매채소,뿌리채소,0.01844115848492216,0.126465238480194,1.1945855907633274
과자,떡,0.014867861694995174,0.1022963451107619,1.19324343636461
떡,과자,0.014867861694995174,0.17342729460295633,1.1932434363646098
밀가공,음료,0.02006203537932203,0.1659455177036992,1.1922936410145248
음료,밀가공,0.02006203537932203,0.14414271346143664,1.1922936410145246
알,"두부/유부, 양념채소",0.01082303708124277,0.04652120214079868,1.1909234714010684
과일,양념채소,0.017085515991424088,0.17305970149253733,1.186504027068778
양념채소,과일,0.017085515991424088,0.1171389604485528,1.1865040270687779
과일,뿌리채소,0.012392340619911736,0.1255223880597015,1.1856794633555032
