회원번호,y_repurchase_14d,label_observable_flag,ever_cancelled,avg_leadtime
1209055936,0,1,0,1.6666666666666667
1209104192,1,1,1,2.693877551020408
1209488384,1,1,1,2.2466666666666666
1209505088,0,1,1,1.8666666666666667
1209538496,0,1,0,2.3333333333333335
1209605312,0,1,0,3.1666666666666665
1209779776,1,1,1,2.2752293577981653
1209790912,0,1,0,2.0
1209800192,0,1,0,3.5
1209933824,1,1,1,2.5238095238095237
1210002496,1,1,1,2.073170731707317
1210037760,1,1,1,2.4285714285714284
1210113856,1,1,1,2.6206896551724137
1210436800,0,1,0,2.2941176470588234
1210587136,0,1,0,2.2222222222222223
1210824704,1,1,1,2.5949367088607596
1210830272,1,1,1,2.265625
1211004736,0,1,0,2.2857142857142856
1211043712,1,1,1,2.3636363636363638
1211151360,0,1,0,3.0
1211214464,0,1,1,2.8333333333333335
1211220032,0,1,1,2.0833333333333335
1211296128,0,1,0,1.3333333333333333
1211333248,0,1,1,2.8333333333333335
1211550400,1,1,1,2.292682926829268
1211706304,0,1,0,2.8
1211737856,1,1,1,2.2610619469026547
1211791680,1,1,1,2.7288135593220337
1212075648,1,1,1,2.0
1212164736,1,1,1,2.108108108108108
1212209280,0,1,1,2.2222222222222223
1212250112,0,1,0,3.0
1212255680,0,1,0,2.142857142857143
1212749376,1,1,0,2.0714285714285716
1212957248,1,1,1,1.8
1213072320,0,1,0,1.75
1213096448,0,1,0,1.5
1213139136,1,1,1,2.375
1213170688,1,1,1,1.7878787878787878
1213256064,0,1,1,1.4285714285714286
1213283904,0,1,1,2.2
1213387840,0,1,0,1.9230769230769231
1213439808,1,1,1,2.316666666666667
1213515904,1,1,1,1.8214285714285714
1213573440,0,1,1,1.9
1213669952,1,1,1,2.2320574162679425
1214063424,1,1,1,2.8947368421052633
1214076416,1,1,1,2.2
1214109824,0,1,0,3.0
1214232320,0,1,0,2.5
1214360384,0,1,1,2.1666666666666665
1214421632,0,1,0,4.0
1214805824,0,1,0,2.6666666666666665
1214857792,1,1,1,2.448
1214941312,0,1,0,2.2
1215238272,1,1,1,2.3541666666666665
1216418688,1,1,0,1.894736842105263
1216543040,1,1,1,2.1881188118811883
1216890112,0,1,0,2.25
1217014464,0,1,1,2.3333333333333335
1217222336,0,1,0,1.7234042553191489
1217257600,1,1,1,2.44954128440367
1217274304,0,1,1,2.204081632653061
1217547136,1,1,0,2.857142857142857
1218059392,0,1,1,1.5
1218499264,0,1,0,2.0
1218606912,0,1,0,1.0
1218644032,0,1,1,1.7391304347826086
1218742400,0,1,1,1.6875
1219033792,0,1,1,1.4782608695652173
1219145152,0,1,1,1.3888888888888888
1219243520,1,1,1,1.3571428571428572
1219468096,1,1,1,1.96875
1219603584,0,1,0,1.0
1219787328,0,1,0,3.0
1219835584,0,1,0,1.5
1219874560,1,1,1,2.1267605633802815
1219993344,1,1,1,2.2941176470588234
1220418368,0,1,1,2.869565217391304
1220984448,1,1,1,2.1463414634146343
1221153344,0,1,0,3.6666666666666665
1221244288,0,1,0,2.4
1221298112,1,1,0,2.5
1221609920,1,1,1,2.6052631578947367
1221611776,0,1,1,2.3043478260869565
1221788096,0,1,0,2.5
1222187136,0,1,1,2.0
1222216832,0,1,0,2.0
1222378304,0,1,0,2.8333333333333335
1222391296,0,1,0,3.0
1222467392,0,1,1,3.5
1222493376,0,1,1,2.0344827586206895
1222949952,0,1,1,2.4545454545454546
1223009344,1,1,1,2.9056603773584904
1223042752,0,1,1,3.5
1223050176,1,1,1,2.36231884057971
1223250624,1,1,1,2.4285714285714284
1223254336,0,1,0,2.0
1223267328,1,1,1,2.642857142857143
1223399104,1,1,1,2.4415584415584415
1223521600,0,1,1,2.769230769230769
1223530880,0,1,1,1.9090909090909092
1223558720,0,1,1,1.6428571428571428
1223621824,1,1,1,2.0434782608695654
1223707200,1,1,1,2.1538461538461537
1223920640,1,1,1,2.2115384615384617
1224035712,0,1,0,3.25
1224096960,0,1,0,2.0
1224351232,1,1,1,2.59
1224635200,1,1,1,2.4350282485875705
1224685312,1,1,1,2.4689655172413794
1224841216,1,1,1,1.8333333333333333
1224909888,0,1,0,1.0
1225036096,1,1,1,2.1483870967741936
1225212416,1,1,1,2.5
1225216128,1,1,1,2.7466666666666666
1225281088,0,1,1,2.3636363636363638
1225657856,0,1,0,2.625
1225811904,1,1,1,2.4444444444444446
1225873152,1,1,1,2.4482758620689653
1226079168,1,1,1,2.616822429906542
1226149696,0,1,0,1.0
1226168256,1,1,1,2.4564102564102566
1226301888,1,1,0,2.0
1226396544,0,1,0,2.1818181818181817
1226561728,0,1,0,2.0
1226674944,0,1,0,3.5
1226884672,0,1,0,2.6666666666666665
1226927360,0,1,0,4.0
1227036864,1,1,1,1.736842105263158
1227419200,1,1,1,2.5390070921985815
1227452608,1,1,1,2.107142857142857
1227692032,0,1,0,2.0
1227734720,1,1,1,2.130434782608696
1227756992,0,1,0,2.5
1227771840,0,1,1,4.5
1227831232,0,1,0,2.3333333333333335
1227901760,0,1,1,2.1142857142857143
1227944448,0,1,0,2.09375
1228213568,0,1,0,2.2
1228226560,0,1,1,1.9333333333333333
1228245120,0,1,0,2.5
1228701696,0,1,1,2.475
1228894720,1,1,1,2.3191489361702127
1228898432,0,1,0,2.25
1228996800,0,1,1,3.0
1229189824,0,1,0,3.3333333333333335
1229260352,0,1,0,2.357142857142857
1229312320,0,1,0,1.0
1229377280,0,1,1,2.5454545454545454
1229418112,0,1,0,3.5
1229600000,0,1,0,1.3333333333333333
1229896960,1,1,0,2.75
1229965632,1,1,1,2.4788732394366195
1229984192,0,1,0,2.5555555555555554
1230032448,0,1,0,2.2857142857142856
1230407360,0,1,0,2.1666666666666665
1230544704,1,1,1,2.75
1230917760,0,1,0,2.4
1231426304,0,1,1,2.4
1231847616,0,1,0,2.4444444444444446
1231944128,0,1,0,2.0
1231945984,0,1,0,1.5555555555555556
1231958976,1,1,0,2.772727272727273
1232135296,0,1,0,3.0
1232181696,0,1,1,2.142857142857143
1232196544,0,1,0,2.8461538461538463
1232267072,0,1,1,2.652173913043478
1232408128,1,1,1,2.8333333333333335
1232480512,0,1,1,1.935483870967742
1232775616,1,1,0,2.4074074074074074
1232888832,0,1,0,1.3333333333333333
1233159808,1,1,1,2.108695652173913
1233336128,1,1,0,1.9523809523809523
1233432640,0,1,0,2.5
1233506880,0,1,1,1.5
1233746304,0,1,1,2.6538461538461537
1233922624,0,1,0,2.0
1233946752,0,1,0,3.0
1233957888,1,1,1,2.6
1234024704,0,1,0,2.4
1234030272,0,1,0,3.142857142857143
1234061824,0,1,0,2.0
1234074816,0,1,0,2.5
1234115648,1,1,0,2.5517241379310347
1234355072,0,1,1,2.5517241379310347
1234473856,1,1,0,1.8571428571428572
1234598208,0,1,0,2.5
1234793088,0,1,1,1.9444444444444444
1234948992,1,1,1,2.5128205128205128
1234965696,1,1,1,2.360655737704918
1235080768,0,1,0,1.6666666666666667
1235132736,0,1,0,1.8
1235179136,0,1,1,2.5172413793103448
1235325760,1,1,1,2.309572301425662
1235409280,0,1,1,2.3076923076923075
1235513216,0,1,0,2.0
1235815744,1,1,1,2.533333333333333
1235964224,0,1,1,2.25
1235992064,1,1,1,2.438202247191011
1236019904,0,1,0,2.6666666666666665
1236237056,1,1,1,2.321078431372549
1236339136,0,1,1,2.75
1236346560,0,1,0,1.2857142857142858
1236797568,1,1,1,2.6507936507936507
1237029568,1,1,1,2.3846153846153846
1237055552,1,1,1,2.3857142857142857
1237189184,0,1,0,2.5
1237250432,0,1,0,2.25
1237413760,0,1,0,1.4761904761904763
1237874048,0,1,1,1.875
1238024384,0,1,0,2.0
1238081920,1,1,1,2.75
1238341760,1,1,1,1.74
1238440128,1,1,1,2.1868131868131866
1238555200,1,1,1,2.574712643678161
1238635008,0,1,1,2.220779220779221
1238753792,1,1,0,2.2
1239110144,0,1,0,2.3333333333333335
1239167680,0,1,0,3.0
1239420096,0,1,0,5.0
1239449792,0,1,1,2.3793103448275863
1239464640,0,1,0,2.25
1239568576,1,1,1,2.0256410256410255
1240227456,1,1,1,2.4274509803921567
1240240448,1,1,1,2.1
1240427904,0,1,1,2.0
1240529984,0,1,1,2.7333333333333334
1241032960,1,1,1,1.5
1241402304,0,1,1,2.586206896551724
1241467264,0,1,0,2.142857142857143
1241509952,1,1,1,2.0660377358490565
1241645440,0,1,0,2.4473684210526314
1241708544,1,1,1,2.424342105263158
1241741952,0,1,0,2.0
1241814336,1,1,1,2.6159420289855073
1241886720,0,1,1,2.5476190476190474
1242189248,0,1,0,2.5
1242248640,0,1,0,3.142857142857143
1242424960,0,1,1,3.0
1242723776,1,1,0,2.096774193548387
1242796160,0,1,1,2.7142857142857144
1242857408,0,1,1,1.75
1242939072,0,1,1,2.4262295081967213
1243046720,1,1,1,1.4230769230769231
1243687040,0,1,0,4.0
1243779840,0,1,0,1.0
1243805824,0,1,0,1.3
1244054528,1,1,0,2.3333333333333335
1244069376,0,1,0,2.3333333333333335
1244227136,0,1,0,2.4444444444444446
1244709696,0,1,0,2.75
1244711552,0,1,0,2.3333333333333335
1245002944,0,1,1,3.0
1245006656,0,1,0,2.526315789473684
1245067904,0,1,0,2.0
1245411264,1,1,1,2.410958904109589
1245420544,1,1,0,3.0
1245489216,1,1,1,2.2066666666666666
1245602432,1,1,1,2.5555555555555554
1245626560,1,1,1,2.760869565217391
1245732352,0,1,0,2.2
1245823296,0,1,0,3.125
1246038592,0,1,0,2.0
1246122112,0,1,1,2.4285714285714284
1246159232,1,1,1,2.5
1246355968,0,1,0,3.1666666666666665
1246578688,0,1,0,1.0
1246903488,0,1,0,2.0
1246940608,0,1,0,2.5
1246953600,0,1,0,2.5
1247063104,1,1,1,2.3058823529411763
1247142912,0,1,1,2.381818181818182
1247566080,0,1,0,2.0
1247642176,0,1,1,2.7
1247731264,1,1,1,2.5510204081632653
1247749824,0,1,1,2.0
1247766528,1,1,1,2.5
1247781376,0,1,0,2.0
1247946560,0,1,0,2.0
1247948416,0,1,0,3.1666666666666665
1248041216,0,1,1,2.453488372093023
1248176704,0,1,0,3.0
1248250944,0,1,1,2.5853658536585367
1248395712,1,1,0,2.875
1248469952,1,1,0,2.75
1248494080,0,1,0,2.1666666666666665
1248505216,0,1,0,3.0
1248557184,0,1,0,3.0
1248657408,0,1,0,2.5
1248783616,1,1,1,2.347826086956522
1248887552,0,1,1,2.4210526315789473
1248963648,0,1,1,2.769230769230769
1249188224,0,1,0,1.0
1249190080,0,1,0,3.25
1249264320,1,1,1,2.3684210526315788
1249310720,1,1,1,2.513888888888889
1249423936,0,1,0,2.6470588235294117
