회원번호,preperiod_제철구매비율,treatment_h4,p_control_logit,p_treated_logit,uplift_logit,p_control_rf,p_treated_rf,uplift_rf
1223254336,0.0,0.0,0.055059343183902036,0.04529401218691688,-0.009765330996985157,0.07588508636601565,0.07738768325475577,0.001502596888740118
1223267328,0.0245398773006134,0.0,0.9149286856322475,0.9370175317141595,0.022088846081911973,0.8706081251935603,0.8150161531358503,-0.05559197205771005
1223399104,0.0754716981132075,0.0,0.8039799314666384,0.8304731744174763,0.02649324295083788,0.8303719511696238,0.8772741429793917,0.046902191809767846
1223521600,0.0,0.0,0.48312154148474684,0.7061854088906773,0.22306386740593043,0.545659800073772,0.4957425246809931,-0.049917275392778904
1223530880,0.0909090909090909,0.0,0.12055328692229861,0.08732729645223268,-0.03322599047006593,0.1523833889381535,0.17004370702827953,0.017660318090126026
1223558720,0.0,,0.21905234495880446,0.1696170206639294,-0.04943532429487507,0.22005829101756136,0.2316907340256884,0.011632443008127047
1223621824,0.08,,0.4509797057254931,0.4112788910937948,-0.03970081463169833,0.4196228255625193,0.4261737911736987,0.006550965611179405
1223707200,0.1,0.0,0.5922026145710519,0.6008301115248125,0.008627496953760527,0.4378625101472606,0.5364110875641319,0.09854857741687134
1223920640,0.0967741935483871,0.0,0.8874722099028008,0.9180272083480729,0.030554998445272097,0.8304811219339058,0.8256633714580528,-0.004817750475852978
1224035712,0.0,1.0,0.32020576086754304,0.31513543719782483,-0.005070323669718213,0.3216549661582367,0.3017941323312843,-0.019860833826952362
1224096960,0.0,1.0,0.05902214399735325,0.05797326670647034,-0.0010488772908829047,0.09223269790684353,0.12372294482581964,0.0314902469189761
1224351232,0.05,0.0,0.8545384499457145,0.8811299410742741,0.02659149112855963,0.8612221323186684,0.8769505991230991,0.01572846680443074
1224635200,0.1379310344827586,0.0,0.9583601584808422,0.9688776295527917,0.010517471071949447,0.8913732231340848,0.8653279539138549,-0.026045269220229983
1224685312,0.0301204819277108,0.0,0.9539091799266234,0.9679626878352806,0.014053507908657226,0.9108007134324467,0.9280762734204206,0.01727555998797392
1224841216,0.025,0.0,0.6385218249351047,0.6845673114708704,0.04604548653576568,0.6440024719331362,0.6938483561766416,0.049845884243505445
1224909888,0.0,0.0,0.07823423664609841,0.055268860970166124,-0.022965375675932286,0.09743608143033371,0.07497168758708381,-0.0224643938432499
1225036096,0.0155440414507772,,0.9536251431640209,0.9672913339832937,0.013666190819272783,0.8931442533625051,0.9076267818913513,0.014482528528846128
1225212416,0.1267605633802817,0.0,0.7620019658858368,0.7865889042917482,0.024586938405911418,0.7568298309691411,0.7691293381449475,0.012299507175806412
1225216128,0.0,0.0,0.8887114794803483,0.9257278996966259,0.0370164202162776,0.8246594325353546,0.7230252729385401,-0.10163415959681443
1225281088,0.0454545454545454,0.0,0.45979181174912137,0.4575334541211993,-0.002258357627922092,0.40439344872505695,0.5026031386050385,0.09820968987998152
